"","LocationName","ISO","country","region","world_region","MPI","geo","lat","lon"
"943","Kampala, Uganda","UGA","Uganda","Kampala","Sub-Saharan Africa",0.076,"(0.3475964, 32.5825197)",0.3475964,32.5825197
"944","Central 1, Uganda","UGA","Uganda","Central 1","Sub-Saharan Africa",0.3,"(8.4545561, -13.2432632)",8.4545561,-13.2432632
"945","Central 2, Uganda","UGA","Uganda","Central 2","Sub-Saharan Africa",0.294,"(0.3729261, 32.6357573)",0.3729261,32.6357573
"946","East Central, Uganda","UGA","Uganda","East Central","Sub-Saharan Africa",0.371,"(0.2540775, 31.99280779999999)",0.2540775,31.9928078
"947","Eastern, Uganda","UGA","Uganda","Eastern","Sub-Saharan Africa",0.417,"(1.2692186, 33.438353)",1.2692186,33.438353
"948","North, Uganda","UGA","Uganda","North","Sub-Saharan Africa",0.431,"(2.8780034, 32.7181375)",2.8780034,32.7181375
"949","Karamoja, Uganda","UGA","Uganda","Karamoja","Sub-Saharan Africa",0.634,"(2.8308738, 34.1531947)",2.8308738,34.1531947
"950","West Nile, Uganda","UGA","Uganda","West Nile","Sub-Saharan Africa",0.484,"(0.3157239, 32.575568)",0.3157239,32.575568
"951","Western, Uganda","UGA","Uganda","Western","Sub-Saharan Africa",0.346,"(0.2580521, 30.5279096)",0.2580521,30.5279096
"952","Southwest, Uganda","UGA","Uganda","Southwest","Sub-Saharan Africa",0.4,"(1.373333, 32.290275)",1.373333,32.290275
