"","Partner.ID","Field.Partner.Name","sector","Loan.Theme.ID","Loan.Theme.Type","country","forkiva","region","geocode_old","ISO","number","amount","LocationName","geocode","names","geo","lat","lon","mpi_region","mpi_geo","rural_pct"
"1271",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","Abaita Ababiri","","UGA",1,1125,"Abaita Ababiri, Uganda","[(0.09353349999999999, 32.4990828)]","Abayita Ababiri; Lyamutundwe; Wakiso; Central Region; Uganda","(0.09353349999999999, 32.4990828)",0.0935335,32.4990828,"West Nile, Uganda","(0.3157239, 32.575568)",70
"1272",65,"BRAC Uganda","General Financial Inclusion","a1050000000sg1c","Youth","Uganda","No","Abaita Ababiri","","UGA",1,850,"Abaita Ababiri, Uganda","[(0.09353349999999999, 32.4990828)]","Abayita Ababiri; Lyamutundwe; Wakiso; Central Region; Uganda","(0.09353349999999999, 32.4990828)",0.0935335,32.4990828,"West Nile, Uganda","(0.3157239, 32.575568)",70
"1273",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","Bowama","","UGA",5,3925,"Bowama, Uganda","[(0.0642441, 32.1078868)]","Buwama; Mpigi; Central Region; Uganda","(0.0642441, 32.1078868)",0.0642441,32.1078868,"East Central, Uganda","(0.2540775, 31.99280779999999)",70
"1274",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","Bugembe","(0.4797222, 33.2344444)","UGA",1,750,"Bugembe, Uganda","[(0.465467, 33.2391334)]","Bugembe; Jinja; Eastern Region; Uganda","(0.465467, 33.2391334)",0.465467,33.2391334,"Central 2, Uganda","(0.3729261, 32.6357573)",70
"1275",65,"BRAC Uganda","General Financial Inclusion","a1050000000sg1c","Youth","Uganda","No","Bugembe","(0.4797222, 33.2344444)","UGA",2,425,"Bugembe, Uganda","[(0.465467, 33.2391334)]","Bugembe; Jinja; Eastern Region; Uganda","(0.465467, 33.2391334)",0.465467,33.2391334,"Central 2, Uganda","(0.3729261, 32.6357573)",70
"1276",65,"BRAC Uganda","General Financial Inclusion","a1050000000sg1c","Youth","Uganda","No","Bugiri","(-0.25, 33.75)","UGA",2,375,"Bugiri, Uganda","[(0.5671364999999999, 33.7461847)]","Bugiri; Namayingo; Eastern Region; Uganda","(0.5671364999999999, 33.7461847)",0.5671365,33.7461847,"Eastern, Uganda","(1.2692186, 33.438353)",70
"1277",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","Bulenga","(0.3166667, 32.5)","UGA",1,1050,"Bulenga, Uganda","[(0.3255456, 32.5031163)]","Bulenga; Wakiso; Central Region; Uganda","(0.3255456, 32.5031163)",0.3255456,32.5031163,"West Nile, Uganda","(0.3157239, 32.575568)",70
"1278",65,"BRAC Uganda","General Financial Inclusion","a1050000000sg1c","Youth","Uganda","No","Bulenga","(0.3166667, 32.5)","UGA",41,9800,"Bulenga, Uganda","[(0.3255456, 32.5031163)]","Bulenga; Wakiso; Central Region; Uganda","(0.3255456, 32.5031163)",0.3255456,32.5031163,"West Nile, Uganda","(0.3157239, 32.575568)",70
"1279",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","Bundibugyo","","UGA",13,11175,"Bundibugyo, Uganda","[(0.707531, 30.0636349)]","Bundibugyo; Bundibugyo; Western Region; Uganda","(0.707531, 30.0636349)",0.707531,30.0636349,"Western, Uganda","(0.2580521, 30.5279096)",70
"1280",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","Busunju","","UGA",3,2075,"Busunju, Uganda","[(0.566086, 32.2044019)]","Busunju; Mityana; Central Region; Uganda","(0.566086, 32.2044019)",0.566086,32.2044019,"East Central, Uganda","(0.2540775, 31.99280779999999)",70
"1281",65,"BRAC Uganda","General Financial Inclusion","a1050000000sg1c","Youth","Uganda","No","Buwama","(0.0608333, 32.0963889)","UGA",73,15250,"Buwama, Uganda","[(0.0642441, 32.1078868)]","Buwama; Mpigi; Central Region; Uganda","(0.0642441, 32.1078868)",0.0642441,32.1078868,"East Central, Uganda","(0.2540775, 31.99280779999999)",70
"1282",65,"BRAC Uganda","General Financial Inclusion","a1050000000sg1c","Youth","Uganda","No","Buwenge","(0.6422222, 33.1744444)","UGA",121,22225,"Buwenge, Uganda","[(0.6484417, 33.171699)]","Buwenge; Jinja; Eastern Region; Uganda","(0.6484417, 33.171699)",0.6484417,33.171699,"Central 2, Uganda","(0.3729261, 32.6357573)",70
"1283",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","Buwenge","(0.6422222, 33.1744444)","UGA",2,1500,"Buwenge, Uganda","[(0.6484417, 33.171699)]","Buwenge; Jinja; Eastern Region; Uganda","(0.6484417, 33.171699)",0.6484417,33.171699,"Central 2, Uganda","(0.3729261, 32.6357573)",70
"1284",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","Bwera","","UGA",23,18400,"Bwera, Uganda","[(0.0912081, 29.7512903)]","Mpondwe; Kasese; Western Region; Uganda","(0.0912081, 29.7512903)",0.0912081,29.7512903,"Western, Uganda","(0.2580521, 30.5279096)",70
"1285",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","Entebbe","","UGA",1,850,"Entebbe, Uganda","[(0.0511839, 32.463708)]","Entebbe; Wakiso; Central Region; Uganda","(0.0511839, 32.463708)",0.0511839,32.463708,"West Nile, Uganda","(0.3157239, 32.575568)",70
"1286",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","Fort Portal","","UGA",24,20600,"Fort Portal, Uganda","[(0.6546257, 30.2801166)]","Fort Portal; Kabarole; Western Region; Uganda","(0.6546257, 30.2801166)",0.6546257,30.2801166,"Western, Uganda","(0.2580521, 30.5279096)",70
"1287",65,"BRAC Uganda","General Financial Inclusion","a1050000000sg1c","Youth","Uganda","No","GABA","","UGA",53,13700,"GABA, Uganda","[(0.2572382, 32.6319844)]","Ggaba; Makindye; Kampala; Kampala; Central Region; Uganda","(0.2572382, 32.6319844)",0.2572382,32.6319844,"West Nile, Uganda","(0.3157239, 32.575568)",70
"1288",65,"BRAC Uganda","General Financial Inclusion","a1050000000wezZ","General","Uganda","No","GABA","","UGA",3,2875,"GABA, Uganda","[(0.2572382, 32.6319844)]","Ggaba; Makindye; Kampala; Kampala; Central Region; Uganda","(0.2572382, 32.6319844)",0.2572382,32.6319844,"West Nile, Uganda","(0.3157239, 32.575568)",70
